v1;v2;v3;Vraag1;Vraag2;Vraag3;Vraag4;Vraag5;Vraag6;Vraag7;Vraag8;Vraag9;Vraag10;Vraag11;Vraag12;Vraag13;Vraag14;Vraag15;Vraag16;Vraag17;Vraag18;Vraag19;Vraag20;Vraag21;Vraag22;Vraag23;Vraag24;Vraag25;Vraag26;Vraag27;Vraag28;Vraag29;Vraag30;Vraag31;Vraag32;Vraag33;Vraag34;Vraag35;Vraag36;Vraag37;Vraag38;Vraag39;Vraag40;Vraag41;Vraag42;Vraag43;Vraag44;Vraag45;Vraag46;Vraag47;Vraag48;Vraag49;Vraag50;Vraag51;Vraag52;Vraag53;Vraag54;Vraag55;Vraag56
Vanuit mijn rol binnen een opleiding.;Bedrijfskunde VT team 2;Institute for People & Business;1;2;1;2;2;2;1;1;2;1;1;2;1;2;2;2;3;1;3;2;1;2;2;2;2;1;1;2;2;3;3;2;3;1;2;1;1;1;1;1;3;1;1;1;2;2;3;2;2;2;2;2;1;2;1;2
Vanuit mijn rol binnen een opleiding.;Built Environment 1;Institute for Design & Engineering;1;2;4;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;3;3;2;2;2;3;4;2;2;2;2;2;4;3;3;2;2;2;2;2;3;3;2;2;4;3;2;2;3;4;4;2;3;2;2;3;3;3
Vanuit mijn rol binnen een lectoraat / kenniscentrum.;KC Digital Business & Media;Kenniscentrum Digitale Business & Media;3;2;3;4;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;2;1;4;2;1;4;3;3;1;1;1;1;1;1;3;1;2;3;4;1;2;1;1;2;2;1;1;1;1;1;1
Vanuit mijn rol binnen een ondersteunende dienst.;Ketenregie en Accountmanagement;Dienst Bedrijfsvoering;2;2;2;2;2;2;2;2;3;1;2;2;2;2;2;2;3;1;2;1;2;1;1;2;3;2;2;3;2;3;3;3;3;1;2;2;2;2;2;3;3;3;3;3;2;2;3;1;2;2;2;2;2;2;3;3
Vanuit mijn rol binnen een opleiding.;Werktuigbouwkunde;Institute for Design & Engineering;1;2;4;4;4;3;3;5;3;2;2;4;4;4;4;2;4;4;3;3;3;4;4;4;5;5;5;4;4;4;4;3;3;2;2;3;2;2;3;3;3;4;4;4;4;4;4;4;4;4;4;3;3;3;4;4
Vanuit mijn rol binnen een ondersteunende dienst.;Project en procesmanagement 2;Dienst Bedrijfsvoering;2;2;1;1;2;1;2;1;1;1;2;2;1;2;2;2;2;2;2;2;1;2;1;2;1;2;2;2;1;1;3;3;1;2;2;1;1;1;2;2;1;1;1;3;2;2;2;2;3;2;2;2;3;2;6;6
Vanuit mijn rol binnen een ondersteunende dienst.;Project en procesmanagement 2;Dienst Bedrijfsvoering;2;1;2;2;2;2;2;2;2;2;2;3;2;2;3;2;2;2;2;2;2;2;2;3;4;2;3;2;2;2;4;4;2;2;3;2;3;2;2;2;2;2;2;4;2;2;2;2;2;2;2;2;2;2;2;2
Vanuit mijn rol binnen een opleiding.;Fysiotherapie team 3;Instituut voor Bewegingsstudies;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;1;6;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;3;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;3
Vanuit mijn rol binnen een opleiding.;Team Physician-Assistent Utrecht;Instituut voor Verpleegkundige Studies;1;2;2;1;1;1;2;2;1;2;2;2;1;2;2;2;2;2;2;1;1;1;1;2;1;1;1;2;1;2;1;1;2;2;2;2;1;2;1;2;2;1;2;1;2;2;2;2;2;1;2;2;2;2;2;2
Vanuit mijn rol binnen een lectoraat / kenniscentrum.;KC Sociale Innovatie;Kenniscentrum Sociale Innovatie;3;2;2;2;2;1;2;1;1;1;1;2;7;2;2;1;2;1;2;2;2;2;1;2;1;2;1;2;2;2;2;2;2;7;7;7;7;7;2;2;2;2;1;2;2;2;2;1;1;2;2;1;2;2;1;1
Vanuit mijn rol binnen een opleiding.;Sociaal Juridische Dienstverlening dt;Instituut voor Recht;1;2;3;2;2;1;2;2;1;2;3;1;1;1;2;1;6;1;2;2;2;3;3;3;2;4;1;3;2;2;6;2;2;2;4;2;1;1;3;2;1;1;2;3;4;4;3;4;6;3;3;3;3;2;3;6
Vanuit mijn rol binnen een opleiding.;Sociaal Juridische Dienstverlening dt;Instituut voor Recht;1;2;1;2;1;1;2;1;4;1;4;6;2;1;1;6;6;1;2;2;1;1;1;4;2;1;1;1;3;2;4;2;2;1;1;1;2;1;3;3;2;2;6;6;6;6;4;4;3;2;2;1;3;3;4;4
Vanuit mijn rol binnen een opleiding.;Team Life Sciences 1;Institute for Life Sciences & Chemistry;1;2;4;2;2;2;2;2;3;2;3;2;2;2;2;2;2;2;2;2;3;2;3;2;3;2;2;2;2;3;3;2;2;2;2;2;2;2;2;3;2;2;3;3;2;2;3;3;3;2;3;2;2;6;3;6
Vanuit mijn rol binnen een opleiding.;Natuurkunde;Instituut Archimedes;1;2;2;2;2;2;2;2;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;6;1;1;1;1;1;2;2;2;1;2;3;2;2;4;2;2;2;2;5;2;5;4;5
Vanuit mijn rol binnen een opleiding.;Team MIZ 2;Instituut voor Paramedische Studies;1;2;2;3;2;3;2;2;3;2;2;3;2;2;3;2;3;3;3;2;3;4;3;3;4;2;3;4;2;3;4;4;4;3;2;3;3;2;3;3;3;3;3;3;2;3;4;3;4;2;2;2;2;3;3;3
Vanuit mijn rol binnen een opleiding.;Gebaren, Taal & Dovenstudies team 3;Instituut voor Gebaren, Taal & Dovenstudies;1;2;2;2;2;1;7;7;7;1;1;7;7;2;6;2;2;2;2;1;2;2;2;3;2;2;3;4;6;6;6;2;2;7;7;7;7;2;2;2;2;2;2;6;2;2;6;2;6;6;2;2;2;6;6;2
